DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Mar-2024,Rank_Mar-2024
terrastore,terrastore,,X_Single,Y_auto,Terrastore,Document,Java,Custom API,,Sergio Bossa,GB,2009,2011,Open Source,Apache v2,AnantLabs/terrastore,Y,,
thinksql,thinksql,,X_Single,Y_auto,ThinkSQL,Relational,Pascal,SQL,Shared-Everything,,GB,2000,,"Commercial,Open Source",,ggaughan/ThinkSQL,Y,,
threaddb,threaddb,,X_Single,Y_auto,ThreadDB,Document,Go,Custom API,Shared-Nothing,Textile,US,2019,2022,Open Source,MIT,textileio/go-threads,Y,,
thrudb,thrudb,,X_Single,Y_auto,ThruDB,,C++,,,Jake Luciani,US,2006,2008,Open Source,BSD,rcrowley/thrudb,Y,,
tidb,tidb,tidb,Normal,Y_auto,TiDB,Key-value#dbdbio>|<dbengines#Relational,Go,SQL,Shared-Nothing,"PingCAP, Inc.",US,2015#dbdbio>|<dbengines#2016,2024,"Commercial,Open Source",Apache v2.0,pingcap/tidb,Y,5.14,75
tiedot,tiedot,,X_Single,Y_auto,tiedot,Document,Go,,"Shared-Everything,Embedded",Howard Guo,FI,2013,2021,Open Source,BSD,HouzuoGuo/tiedot,Y,,
tieredmemdb,tieredmemdb,,X_Single,Y_auto,TieredMemDB,,,Command-line / Shell,Shared-Everything,Intel,PL,2020,,"Industrial Research,Open Source",,TieredMemDB/TieredMemDB,Y,,
tigerbeetle,tigerbeetle,,X_Single,Y_auto,TigerBeetle,Relational,Zig,Custom API,Shared-Nothing,"Coil Technologies, Inc.",ZA,2020,,Open Source,Apache v2,coilhq/tigerbeetle,Y,,
tikv,tikv,,X_Single,Y_auto,TiKV,Key-value,Rust,Custom API,Shared-Nothing,Cloud Nature Computing Foundation (CNCF),CN,2016,,Open Source,Apache v2,tikv/tikv,Y,,
tile38,tile38,,X_Single,Y_auto,Tile38,,Go,"Custom API,HTTP / REST",Shared-Everything,Josh Baker,US,2016,,Open Source,MIT,tidwall/tile38,Y,,
tiledb,tiledb,,X_Single,Y_auto,TileDB,Array,C++,"Custom API,SQL",Embedded,"TileDB Inc, Intel Labs",US,2014,,"Commercial,Open Source",MIT,TileDB-Inc/TileDB,Y,,
timbala,timbala,,X_Single,Y_auto,Timbala,Relational,Go,"HTTP / REST,PromQL",,Matt Bostock,GB,2016,2018,"Hobby,Open Source",Apache v2,mattbostock/timbala,Y,,
timber,timber,,X_Single,Y_auto,TIMBER,Document,,XQuery,,University of Michigan,US,,2006,"Academic,Open Source",,-,Y,,
tingodb,tingodb,,X_Single,Y_auto,TingoDB,Document,JavaScript,Custom API,Embedded,PushOk Software,RU,2013,,Open Source,MIT,sergeyksv/tingodb,Y,,
tinybase,tinybase,,X_Single,Y_auto,TinyBase,Relational,TypeScript,Custom API,Embedded,James Pearce,US,2021,,Open Source,MIT,tinyplex/tinybase,Y,,
tinydb,tinydb,,X_Single,Y_auto,TinyDB,Document,Python,Custom API,Embedded,Markus Siemens,DE,2013,,Open Source,MIT,msiemens/tinydb,Y,,
tinysql,tinysql,,X_Single,Y_auto,tinySQL,,Java,,,Brian Jepson,US,2003,2007,Open Source,,-,Y,,
titan,titan,,X_Single,Y_auto,Titan,Graph,Java,Gremlin,,Aurelius,US,2012,2015,Open Source,Apache v2,thinkaurelius/titan,Y,,
titan-nosql,titan-nosql,,X_Single,Y_auto,Titan,,Go,,,"Meitu, Inc.",CN,2018,,"Hobby,Open Source",Apache v2,meitu/titan,Y,,
tokudb,tokudb,,X_Single,Y_auto,TokuDB,Relational,,,,Percona,US,2009,2022,"Commercial,Open Source",GPL v2,percona/tokudb-engine,Y,,
tokumx,tokumx,,X_Single,Y_auto,TokuMX,,,,,Tokutek,US,,,"Commercial,Open Source","AGPL v3,Apache v2,GPL v2",Tokutek/mongo,Y,,
tokyo-cabinet,tokyo-cabinet,,X_Single,Y_auto,Tokyo Cabinet,Key-value,C,Custom API,Embedded,FAL Labs,JP,2006,,Open Source,LGPL v2,LuaDist/tokyocabinet,Y,,
tokyo-tyrant,tokyo-tyrant,tokyo-tyrant,Normal,Y_auto,Tokyo Tyrant,Key-value,,,,Mikio  Hirabayashi,JP,2007,,Open Source,GPL,hthetiot/Tokyo-Tyrant,Y,0.25,316
tomp2p,tomp2p,tomp2p,Normal,Y_auto,TomP2P,Key-value,Java,,,Thomas Bocek,CH,2004,,Open Source,Apache v2,tomp2p/TomP2P,Y,0.0,397
torodb,torodb,torodb,X_Single,Y_auto,ToroDB,Document,Java,,Shared-Everything,8Kdata,ES,2016,,Open Source,AGPL v3,torodb/server,Y,,
toydb,toydb,,X_Single,Y_auto,toyDB,Relational,Rust,SQL,Shared-Nothing,Erik Grinaker,NO,2019,,"Educational,Open Source",Apache v2,erikgrinaker/toydb,Y,,
trafodion,trafodion,trafodion,X_Single,Y_auto,Trafodion,Wide column,"C++,Java",SQL,,Hewlett-Packard Company,US,2014,2021,Open Source,Apache v2,apache/trafodion,Y,,
traildb,traildb,,X_Single,Y_auto,TrailDB,Relational,C,Custom API,Embedded,AdRoll Inc.,US,2014,,"Commercial,Open Source",MIT,traildb/traildb,Y,,
treodedb,treodedb,,X_Single,Y_auto,TreodeDB,Key-value,Scala,,,"Treode, Inc.",US,2012,2015,"Commercial,Open Source",Apache v2,Treode/store,Y,,
trino,trino,trino,Normal,Y_auto,Trino,Relational,Java,SQL,Shared-Disk,Trino Software Foundation,US,2019#dbdbio>|<dbengines#2012,,Open Source,Apache v2.0,trinodb/trino,Y,5.21,73
trousseau,trousseau,,X_Single,Y_auto,Trousseau,Key-value,Go,Command-line / Shell,Shared-Everything,Théo Crevon,DE,2013,,Open Source,MIT,oleiade/trousseau,Y,,
ts-sql,ts-sql,,X_Single,Y_auto,ts-sql,Relational,TypeScript,SQL,Embedded,Charles Pick,GB,2020,,"Hobby,Open Source",,codemix/ts-sql,Y,,
twig,twig,,X_Single,Y_auto,Twig,Object Oriented,Java,,,John Patterson,US,2009,2013,Open Source,Apache v2,google-code-export/twig-persist,Y,,
typedb,typedb,typedb,Normal,Y_auto,TypeDB,Graph,,Custom API,,Vaticle,GB,2016,2024,"Commercial,Open Source","AGPL v3#dbdbio>|<dbengines#GPL Version 3, commercial licenses available",vaticle/typedb,Y,1.01,202
typhoon,typhoon,,X_Single,Y_auto,Typhoon,Relational,C,,,"Thomas B. Pedersen, Kaz Kylheku",DK,1996,1999,Open Source,MIT,jonahharris/osdb-typhoon,Y,,
unqlite,unqlite,,X_Single,Y_auto,UnQLite,"Key-value,Document",C,,Embedded,Symisc Systems,TN,,,"Commercial,Open Source",,symisc/unqlite,Y,,
upscaledb,upscaledb,upscaledb,Normal,Y_auto,upscaledb,Key-value,"C,C++",,,Christoph Rupp,DE,2007,,"Commercial,Open Source",Apache v2,cruppstahl/upscaledb,Y,0.0,397
valkey,valkey,,X_Single,Y_auto,Valkey,Key-value,C,Custom API,Shared-Everything,Linux Foundation,US,2024,,Open Source,BSD,valkey-io/valkey,Y,,
vanilladb,vanilladb,,X_Single,Y_auto,VanillaDB,Multivalue,Java,"Custom API,SQL,Stored Procedures",Shared-Everything,National Tsing Hua University,TW,2016,,"Academic,Open Source",Apache v2,vanilladb/vanillacore,Y,,
vearch,vearch,,X_Single,Y_auto,Vearch,"Document,Vector",C++,HTTP / REST,Shared-Nothing,JD.com,CN,2019,,Open Source,Apache v2,vearch/vearch,Y,,
vectordb,vectordb,,X_Single,Y_auto,VectorDB,"Document,Vector",Python,HTTP / REST,"Shared-Everything,Embedded",Jina,ES,2023,,"Commercial,Open Source",Apache v2,jina-ai/vectordb,Y,,
vectordb-kagi,vectordb-kagi,,X_Single,Y_auto,VectorDB,"Document,Vector",Python,Custom API,Embedded,Kagi,US,2023,,Open Source,MIT,kagisearch/vectordb,Y,,
vectorsql,vectorsql,,X_Single,Y_auto,VectorSQL,Relational,Go,SQL,,Bohu Tang,CN,2020,2021,"Hobby,Open Source",Apache v2,vectorengine/vectorsql,Y,,
velox,velox,,X_Single,Y_auto,Velox,Relational,C++,Custom API,Embedded,Meta,US,2020,,"Industrial Research,Open Source",Apache v2,facebookincubator/velox,Y,,
veloxdb,veloxdb,,X_Single,Y_auto,VeloxDB,Object Oriented,C#,Custom API,Shared-Everything,VeloxDB,RS,2022,,"Commercial,Open Source",MIT,VeloxDB/VeloxDB,Y,,
vertexdb,vertexdb,,X_Single,Y_auto,VertexDB,Graph,,,,"Steve Dekorte, Rich Collins",US,,,"Hobby,Open Source",,stevedekorte/vertexdb,Y,,
vespa,vespa,vespa,Normal,Y_auto,Vespa,Document#dbdbio>|<dbengines#Search Engine,C++,"Custom API,SQL",,Yahoo!,NO,1997,,Open Source,Apache v2,vespa-engine/vespa,Y,0.56,250
victoriametrics,victoriametrics,victoriametrics,Normal,Y_auto,VictoriaMetrics,Wide column#dbdbio>|<dbengines#Time Series,Go,"Custom API,PromQL",,VictoriaMetrics,UA,2018,2023,Open Source,Apache v2.0,VictoriaMetrics/VictoriaMetrics,Y,1.59,162
vitess,vitess,vitess,Normal,Y_auto,Vitess,Relational,Go,SQL,Shared-Nothing,"Youtube#dbdbio>|<dbengines#The Linux Foundation, PlanetScale",US,2011#dbdbio>|<dbengines#2013,2022,Open Source,"Apache v2.0, commercial licenses available",vitessio/vitess,Y,1.17,185
viyadb,viyadb,,X_Single,Y_auto,ViyaDB,,C++,HTTP / REST,,Michael Spector,IL,2017,,Open Source,Apache v2,viyadb/viyadb,Y,,
voldemort,voldemort,project-voldemort,Fuzzy:Normal,Y,Project Voldemort,Key-value,Java,Custom API,,LinkedIn,US,2009,2017,Open Source,Apache v2,voldemort/voldemort,Y,0.33,288
voltdb,voltdb,voltdb,Normal,Y_auto,VoltDB,Relational,"C++,Java","SQL,Stored Procedures",Shared-Nothing,VoltDB Inc.,US,2009#dbdbio>|<dbengines#2010,2022,"Commercial,Open Source","GPL v3,VoltDB Proprietary License#dbdbio>|<dbengines#AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",VoltDB/voltdb,Y,1.51,165
vsql,vsql,,X_Single,Y_auto,vsql,Relational,V,SQL,Shared-Everything,Elliot Chance,US,2021,,"Hobby,Open Source",MIT,elliotchance/vsql,Y,,
vyhodb,vyhodb,,X_Single,Y_auto,vyhodb,Network,Java,Custom API,"Shared-Everything,Embedded",Igor Vykhodtsev,RU,2012,2020,"Hobby,Open Source",Microsoft Reference Source License,igor-bul/vyhodb,Y,,
warp-10,warp-10,warp-10,Normal,Y_auto,Warp 10,Time Series,Java,Custom API,,SenX S.A.S.,FR,2013#dbdbio>|<dbengines#2015,,"Commercial,Open Source",Apache v2.0,senx/warp10-platform,Y,0.13,342
weaviate,weaviate,weaviate,Normal,Y_auto,Weaviate,Vector,"Assembly,C++,Go",,Shared-Everything,"Weaviate, B.V.",NL,2016#dbdbio>|<dbengines#2019,2023,"Commercial,Open Source",BSD#dbdbio>|<dbengines#commercial license available with Weaviate Enterprise,semi-technologies/weaviate,Y,2.0,138
webscalesql,webscalesql,,X_Single,Y_auto,WebScaleSQL,,,,,"Facebook, Google, LinkedIn, Twitter, Alibaba Group","CN,US",2014,2016,Open Source,GPL v2,webscalesql/webscalesql-5.6,Y,,
whitedb,whitedb,whitedb,Normal,Y_auto,WhiteDB,Network#dbdbio>|<dbengines#Document,C,Custom API,Embedded,"Priit Järv, Tanel Tammet",EE,2008,,"Hobby,Open Source",GPL v3,priitj/whitedb,Y,0.0,397
wiredtiger,wiredtiger,,X_Single,Y_auto,WiredTiger,Key-value,C,"Custom API,Command-line / Shell",Embedded,WiredTiger Inc.,"AU,US",2008,,"Commercial,Open Source","GPL v2,GPL v3",wiredtiger/wiredtiger,Y,,
wonderdb,wonderdb,,X_Single,Y_auto,WonderDB,Relational,Java,SQL,Shared-Everything,Vilas Athavale,US,2013,2015,"Hobby,Open Source",,dreamdbvilas/wonderdb,Y,,
xap,xap,,X_Single,Y_auto,XAP,Key-value,Java,"Custom API,SQL",Shared-Nothing,GigaSpaces,US,2000,,"Commercial,Open Source",Apache v2,xap/xap,Y,,
xapian,xapian,xapian,Normal,Y_auto,Xapian,Document#dbdbio>|<dbengines#Search Engine,C++,Custom API,Embedded,BrightStation,GB,2001#dbdbio>|<dbengines#1986,2023,"Commercial,Open Source",GPL v2,xapian/xapian,Y,0.84,216
xodus,xodus,,X_Single,Y_auto,Xodus,Document,"Java,Kotlin",,Embedded,JetBrains,RU,2014,,Open Source,Apache v2,JetBrains/xodus,Y,,
xtdb,xtdb,xtdb,Normal,Y_auto,XTDB,Document,Clojure,"SQL,Datalog",Shared-Disk,JUXT Ltd.,GB,2018#dbdbio>|<dbengines#2019,2021,"Commercial,Open Source",MIT,xtdb/xtdb,Y,0.16,336
ydb,ydb,ydb,Normal,Y_auto,YDB,Relational#dbdbio>|<dbengines#Document,C++,"SQL,HTTP / REST",Shared-Disk,Yandex,RU,2019,,"Commercial,Open Source",Apache v2.0; commercial license available,ydb-platform/ydb,Y,0.36,281
yottadb,yottadb,yottadb,Normal,Y_auto,YottaDB,Key-value,C,Custom API,Embedded,"YottaDB, LLC",US,2001,,"Commercial,Open Source",AGPL v3.0,YottaDB/YDB,Y,0.3,303
yugabytedb,yugabytedb,yugabytedb,Normal,Y_auto,YugabyteDB,"Relational,Key-value",C++,"Custom API,PL/SQL",Shared-Nothing,"Yugabyte, Inc.",US,2016#dbdbio>|<dbengines#2017,2023,"Commercial,Open Source",Apache v2.0,yugabyte/yugabyte-db,Y,3.21,103
zerodb,zerodb,,X_Single,Y_auto,ZeroDB,Document,Python,Custom API,,ZeroDB Inc.,US,2015,2017,"Commercial,Open Source",AGPL v3,zerodb/zerodb,Y,,
zodb,zodb,zodb,Normal,Y_auto,ZODB,Object Oriented#dbdbio>|<dbengines#Key-value,Python,Custom API,Shared-Everything,Zope Foundation,US,2002#dbdbio>|<dbengines#2009,2023,Open Source,Zope Public License,zopefoundation/ZODB,Y,0.89,209
zoodb,zoodb,,X_Single,Y_auto,ZooDB,Object Oriented,Java,Custom API,,Tilmann Zäschke,CH,2008,,Open Source,GPL v3,tzaeschke/zoodb,Y,,
zookeeper,zookeeper,,X_Single,Y_auto,Zookeeper,Hierarchical,Java,Command-line / Shell,Shared-Nothing,Apache Foundation,US,2008,,Open Source,Apache v2,apache/zookeeper,Y,,
adabas,,adabas,Y_Single,Y_auto,Adabas,Multivalue,,,,Software AG,,1971,,,,jrmarino/AdaBase,N,4.04,87
apache-flink,,apache-flink,Y_Single,Y_auto,Apache Flink,Relational,,,,Apache Software Foundation and contributors,,,2024,,,apache/flink,Y,13.41,41
apache-sedona,,apache-sedona,Y_Single,Y_auto,Apache Sedona,Spatial,,,,Apache Software Foundation and contributors,,2020,,,Apache Version 2.0,apache/sedona,Y,0.28,306
atoti,,atoti,Y_Single,Y_auto,atoti,Object Oriented,,,,ActiveViam,,,,,free versions available,atoti/atoti,N,0.56,249
cachelotio,,cachelotio,Y_Single,Y_auto,Cachelot.io,Key-value,,,,,,2015,,,Simplified BSD License,cachelot/cachelot,Y,0.0,397
deep-lake,,deep-lake,Y_Single,Y_auto,Deep Lake,Vector,,,,Activeloop,,,,,MPL-2.0 license,activeloopai/deeplake,Y,0.22,325
dydra,,dydra,Y_Single,Y_auto,Dydra,RDF,,,,,,2010,,,,dydra/dydra,N,0.01,392
elassandra,,elassandra,Y_Single,Y_auto,Elassandra,Wide column,,,,,,,,,Apache Version 2.0,strapdata/elassandra,Y,0.29,304
firebolt,,firebolt,Y_Single,Y_auto,Firebolt,Relational,,,,Firebolt Analytics Inc.,,2020,,,,firebolt-db/firebolt-python-sdk,N,2.16,130
geomesa,,geomesa,Y_Single,Y_auto,GeoMesa,Spatial,,,,CCRi and others,,2014,2024,,Apache License 2.0,geomesa/geomesa-geoserver,Y,0.82,218
gigaspaces,,gigaspaces,Y_Single,Y_auto,GigaSpaces,Document,,,,Gigaspaces Technologies,,2000,2020,,Apache Version 2; Commercial licenses available,-,Y,1.05,191
giraph,,giraph,Y_Single,Y_auto,Giraph,Graph,,,,,,2013,2020,,Apache Version 2,apache/giraph,Y,1.23,178
graph-engine,,graph-engine,Y_Single,Y_auto,Graph Engine,Graph,,,,Microsoft,,2010,,,MIT License,microsoft/GraphEngine,Y,0.64,241
graphite,,graphite,Y_Single,Y_auto,Graphite,Time Series,,,,Chris Davis,,2006,,,Apache 2.0,graphite-project/graphite-web,Y,4.84,79
gstore,,gstore,Y_Single,Y_auto,gStore,Graph,,,,,,2016,2023,,BSD,pkumod/gStore,Y,0.09,358
h2gis,,h2gis,Y_Single,Y_auto,H2GIS,Spatial,,,,CNRS,,2013,,,LGPL 3.0,orbisgis/h2gis,Y,0.08,360
hawkular-metrics,,hawkular-metrics,Y_Single,Y_auto,Hawkular Metrics,Time Series,,,,Community supported by Red Hat,,2014,,,Apache 2.0,hawkular/hawkular-metrics,Y,0.07,366
heavyai,,heavyai,Y_Single,Y_auto,HEAVY.AI,Relational,,,,"HEAVY.AI, Inc.",,2016,2022,,Apache Version 2; enterprise edition available,heavyai/heavydb,Y,2.3,127
hgraphdb,,hgraphdb,Y_Single,Y_auto,HGraphDB,Graph,,,,,,2016,,,Apache 2.0,rayokota/hgraphdb,Y,0.0,397
hyperleveldb,,hyperleveldb,Y_Single,Y_auto,HyperLevelDB,Key-value,,,,,,2010,,,,rescrv/HyperLevelDB,Y,0.01,393
iboxdb,,iboxdb,Y_Single,Y_auto,iBoxDB,Document,,,,,,2013,,,,iboxdb/ftserver,Y,0.0,397
kdb,,kdb,Y_Single,Y_auto,Kdb,Time Series,,,,"Kx Systems, a division of First Derivatives plc",,2000,2018,,free 32-bit version,KxSystems/kdb,N,7.69,53
leveldb,,leveldb,Y_Single,Y_auto,LevelDB,Key-value,,,,Google,,2011,2021,,BSD,google/leveldb,Y,3.32,100
neventstore,,neventstore,Y_Single,Y_auto,NEventStore,Event,,,,,,2011,,,MIT-License,NEventStore/NEventStore,Y,0.15,338
newts,,newts,Y_Single,Y_auto,Newts,Time Series,,,,OpenNMS Group,,2014,,,Apache 2.0,OpenNMS/newts,Y,0.04,383
nsdb,,nsdb,Y_Single,Y_auto,NSDb,Time Series,,,,,,2017,,,Apache Version 2.0,radicalbit/NSDb,Y,0.07,369
opengauss,,opengauss,Y_Single,Y_auto,openGauss,Relational,,,,Huawei and openGauss community,,2019,2022,,,opengauss-mirror/openGauss-server,Y,1.17,186
opensearch,,opensearch,Y_Single,Y_auto,OpenSearch,Search Engine,,,,Amazon Web Services,,2021,2023,,Apache Version 2.0,opensearch-project/OpenSearch,Y,14.72,40
opentenbase,,opentenbase,Y_Single,Y_auto,OpenTenBase,Relational,,,,"OpenAtom Foundation, previously Tencent",,,2024,,BSD-3,OpenTenBase/OpenTenBase,Y,0.0,397
oracle-coherence,,oracle-coherence,Y_Single,Y_auto,Oracle Coherence,Key-value,,,,Oracle,,2007,2023,,,oracle/coherence,N,2.32,126
postgis,,postgis,Y_Single,Y_auto,PostGIS,Spatial,,,,,,2005,2024,,GPL v2.0,postgis/postgis,Y,24.72,29
postgres-xl,,postgres-xl,Y_Single,Y_auto,Postgres-XL,Relational,,,,,,2014,2018,,Mozilla public license,Postgres-XL/Postgres-XL,Y,0.56,253
qdrant,,qdrant,Y_Single,Y_auto,Qdrant,Vector,,,,Qdrant,,2021,,,Apache Version 2.0,qdrant/qdrant,Y,1.25,176
rdf4j,,rdf4j,Y_Single,Y_auto,RDF4J,RDF,,,,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.",,2004,,,"Eclipse Distribution License (EDL), v1.0.",eclipse/rdf4j,Y,0.72,234
redland,,redland,Y_Single,Y_auto,Redland,RDF,,,,,,2000,,,"Multi License (LGPL, GPLv2, Apache V2)",dajobe/librdf,Y,0.46,269
rrdtool,,rrdtool,Y_Single,Y_auto,RRDtool,Time Series,,,,Tobias Oetiker,,1999,2022,,GPL V2 and FLOSS,oetiker/rrdtool-1.x,Y,2.47,120
siaqodb,,siaqodb,Y_Single,Y_auto,Siaqodb,Object Oriented,,,,,,,,,,morecraf/Siaqodb,N,0.0,395
sitewhere,,sitewhere,Y_Single,Y_auto,SiteWhere,Time Series,,,,SiteWhere,,2010,,,Common Public Attribution License Version 1.0,sitewhere/sitewhere,Y,0.05,381
snowflake,,snowflake,Y_Single,Y_auto,Snowflake,Relational,,,,Snowflake Computing Inc.,,2014,,,,twitter-archive/snowflake,N,125.38,9
spatialite,,spatialite,Y_Single,Y_auto,SpatiaLite,Spatial,,,,Alessandro Furieri,,2008,2020,,"MPL 1.1, GPL v2.0 or LGPL v2.1",illarionov/SpatiaLite,Y,1.98,140
speedb,,speedb,Y_Single,Y_auto,Speedb,Key-value,,,,Speedb,,2020,,,Apache Version 2.0; commercial license available,speedb-io/speedb,Y,0.25,319
sqljs,,sqljs,Y_Single,Y_auto,SQL.JS,Relational,,,,Alon Zakai,,2012,,,,sql-js/sql.js,Y,0.63,243
tigris,,tigris,Y_Single,Y_auto,Tigris,Document,,,,"Tigris Data, Inc.",,2022,,,Apache Version 2.0,tigrisdata/tigris,Y,0.07,368
timescaledb,,timescaledb,Y_Single,Y_auto,TimescaleDB,Time Series,,,,Timescale,,2017,2023,,Apache 2.0,timescale/timescaledb,Y,5.33,72
tinkergraph,,tinkergraph,Y_Single,Y_auto,TinkerGraph,Graph,,,,,,2009,,,Apache 2.0,apache/tinkerpop,Y,0.13,347
tkrzw,,tkrzw,Y_Single,Y_auto,Tkrzw,Key-value,,,,Mikio Hirabayashi,,2020,2020,,Apache Version 2.0,estraier/tkrzw,Y,0.05,380
transwarp-stellardb,,transwarp-stellardb,Y_Single,Y_auto,Transwarp StellarDB,Graph,,,,Transwarp,,,,,,stellardb/StellarDB,N,0.06,370
typesense,,typesense,Y_Single,Y_auto,Typesense,Search Engine,,,,,,2015,,,GPL V3,typesense/typesense,Y,1.01,200
vald,,vald,Y_Single,Y_auto,Vald,Vector,,,,,,,,,Apache-2.0 license,vdaas/vald,Y,0.71,236
virtuoso,,virtuoso,Y_Single,Y_auto,Virtuoso,Document,,,,OpenLink Software,,1998,2023,,"GPLv2, extended commercial license available",openlink/virtuoso-opensource,Y,4.39,82
wakandadb,,wakandadb,Y_Single,Y_auto,WakandaDB,Object Oriented,,,,Wakanda SAS,,2012,2019,,"AGPLv3, extended commercial license available",-,Y,0.06,374
ytsaurus,,ytsaurus,Y_Single,Y_auto,YTsaurus,Document,,,,Yandex,,2023,,,"Apache License, Version 2.0",ytsaurus/ytsaurus,Y,0.17,334
machbase-neo,,machbase-neo,:Y_Single,Y_ConflictResolved,Machbase Neo,Time Series,,,,Machbase,,2013,2023,,free test version available,machbase/neo-server,N,0.28,307
percona-server-for-mongodb,,percona-server-for-mongodb,:Y_Single,Y_ConflictResolved,Percona Server for MongoDB,Document,,,,Percona,,2015,2017,,GPL Version 2,percona/percona-server-mongodb,Y,0.6,246
riak-kv,,riak-kv,:Y_Single,Y_ConflictResolved,Riak KV,Key-value,,,,"OpenSource, formerly Basho Technologies",,2009,2022,,"Apache version 2, commercial enterprise edition",basho/riak_kv,Y,4.95,76
riak-ts,,riak-ts,:Y_Single,Y_ConflictResolved,Riak TS,Time Series,,,,"Open Source, formerly Basho Technologies",,2015,2022,,,-,Y,0.28,308
