DBMS_uriform,X_DBMS_uriform,Y_DBMS_uriform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Feb-2023,Rank_Feb-2023
drill,drill,apache-drill,Fuzzy:Normal,Y,Apache Drill,Wide column#dbdbio>|<dbengines#Document,Java,"SQL,HTTP / REST",,Apache Software Foundation,US,2012,2023,Open Source,Apache v2,apache/drill,Y,3.19,103
druid,druid,apache-druid,Fuzzy:Normal,Y,Apache Druid,Wide column#dbdbio>|<dbengines#Relational,Java,"Custom API,SQL,HTTP / REST",,Metamarkets#dbdbio>|<dbengines#Apache Software Foundation and contributors,US,2011#dbdbio>|<dbengines#2012,,Open Source,Apache v2,apache/druid,Y,2.49,125
duckdb,duckdb,duckdb,Normal,Y_auto,DuckDB,Relational,C++,,,CWI,NL,2018,,"Academic,Open Source",MIT,duckdb/duckdb,Y,2.01,143
ductiledb,ductiledb,,X_Single,Y_auto,DuctileDB,Graph,Java,Gremlin,,PureSol Technologies,DE,2015,,Open Source,Apache v2,PureSolTechnologies/DuctileDB,Y,,
dynomitedb,dynomitedb,,X_Single,Y_auto,DynomiteDB,,C,,,Netflix,US,2012,,Open Source,Apache v2,Netflix/dynomite,Y,,
earthstar,earthstar,,X_Single,Y_auto,Earthstar,Document,TypeScript,Custom API,,Earthstar Project,US,2020,,"Academic,Open Source",LGPL v3,earthstar-project/earthstar,Y,,
easedb,easedb,,X_Single,Y_auto,EaseDB,Document,Ruby,HTTP / REST,,Alexander Shakhmatov,RU,2013,,Open Source,MIT,X2rdas/easedb,Y,,
echodb,echodb,,X_Single,Y_auto,EchoDB,Key-value,Rust,Custom API,,SurrealDB Ltd.,GB,2021,,Open Source,Apache v2,surrealdb/echodb,Y,,
edgedb,edgedb,,X_Single,Y_auto,EdgeDB,Object oriented,,"Custom API,SQL,GraphQL",,MagicStack,CA,2018,,Open Source,Apache v2,edgedb/edgedb,Y,,
edgelessdb,edgelessdb,edgelessdb,Normal,Y_auto,EdgelessDB,Relational,,SQL,,Edgeless Systems,DE,2021,,"Commercial,Open Source",GPL v2,edgelesssys/edgelessdb,Y,0,389
