unique_name,X_DBMS,dbdbio_card_title,Y_DBMS,match_state,manu_labeled_flag,DBMS,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Feb-2023,Rank_Feb-2023
dbreeze,dbreeze,DBreeze,,X_Never,Y_auto,dbreeze,,C#,Custom API,,Alexey Solovyov,DE,2012,,Open Source,BSD,hhblaze/DBreeze,Y,,
dbx1000,dbx1000,DBx1000,,X_Never,Y_auto,dbx1000,,"Assembly,C++",,Shared-Everything,"Massachusetts Institute of Technology, Carnegie Mellon University",US,2014,,"Academic,Open Source",ISC License,yxymit/DBx1000,Y,,
deepdb,deepdb,DeepDB,,X_Never,Y_auto,deepdb,,C++,SQL,Shared-Everything,"Deep Information Sciences, Inc.",US,2010,,"Commercial,Open Source","AGPL v3,,,Proprietary",DeepFound/deep_engine,Y,,
degdb,degdb,DegDB,,X_Never,Y_auto,degdb,,Go,,,Tristan Rice,CA,2015,,Open Source,MIT,degdb/degdb,Y,,
delta-lake,delta-lake,Delta Lake,,X_Never,Y_auto,delta-lake,,Scala,,Shared-Disk,DataBricks,US,2019,,"Commercial,Open Source",Apache v2,delta-io/delta,Y,,
densodb,densodb,DensoDB,,X_Never,Y_auto,densodb,,C#,,,Paolo Possanzini,IT,2012,,Open Source,,teamdev/densodb,Y,,
derby,derby,Derby,Derby,Normal,Y_auto,derby#dbdbio>|<dbengines#Derby,Relational,Java,SQL,Embedded,Cloudscape Inc.#dbdbio>|<dbengines#Apache Software Foundation,US,1997,,Open Source,Apache v2#dbdbio>|<dbengines#Apache version 2,apache/derby,Y,6.14,68
dgraph,dgraph,DGraph,Dgraph,Normal,Y_auto,dgraph#dbdbio>|<dbengines#Dgraph,Graph,Go,GraphQL,Shared-Nothing,"DGraph Labs, Inc#dbdbio>|<dbengines#Dgraph Labs, Inc.",US,2015#dbdbio>|<dbengines#2016,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache 2.0,dgraph-io/dgraph,Y,1.86,153
dolt,dolt,Dolt,Dolt,Normal,Y_auto,dolt#dbdbio>|<dbengines#Dolt,Relational,Go,"Custom API,SQL,Command-line / Shell","Shared-Everything,Embedded",DoltHub Inc,US,2018,,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2.0,dolthub/dolt,Y,1.11,203
doris,doris,Doris,Apache Doris,Fuzzy:Normal,Y,doris#dbdbio>|<dbengines#Apache Doris,Relational,C++,SQL,,"Baidu#dbdbio>|<dbengines#Apache Software Foundation, originally contributed from Baidu",CN,2017,2021,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2.0,apache/incubator-doris#dbdbio>|<dbengines#apache/doris,Y,0.75,245
doxa,doxa,Doxa,,X_Never,Y_auto,doxa,Document,Clojure,Custom API,,Rafal Krzywaznia,PL,2021,,"Hobby,Open Source",Public Domain,ribelo/doxa,Y,,
dqlite,dqlite,Dqlite,,X_Never,Y_auto,dqlite,Relational,C,SQL,,Canonical,,2017,,Open Source,Apache v2,canonical/dqlite,Y,,
dragonfly,dragonfly,Dragonfly,,X_Never,Y_auto,dragonfly,Key-value,C++,,,Attos Technologies Ltd.,IL,2021,,"Commercial,Open Source",Business Source License,dragonflydb/dragonfly,Y,,
dremio,dremio,Dremio,,X_Never,Y_auto,dremio,Relational,Java,SQL,,Dremio,US,2015,,"Commercial,Open Source",Apache v2,dremio/dremio-oss,Y,,
drill,drill,Drill,Apache Drill,Fuzzy:Normal,Y,drill#dbdbio>|<dbengines#Apache Drill,Wide column#dbdbio>|<dbengines#Document,Java,"SQL,HTTP / REST",,Apache Foundation#dbdbio>|<dbengines#Apache Software Foundation,US,2012,2023,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2,apache/drill,Y,3.19,103
druid,druid,Druid,Apache Druid,Fuzzy:Normal,Y,druid#dbdbio>|<dbengines#Apache Druid,Wide column#dbdbio>|<dbengines#Relational,Java,"Custom API,SQL,HTTP / REST",,Metamarkets#dbdbio>|<dbengines#Apache Software Foundation and contributors,US,2011#dbdbio>|<dbengines#2012,,Open Source,Apache v2#dbdbio>|<dbengines#Apache license v2,apache/druid,Y,2.49,125
