DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_May-2023,Rank_May-2023
btrdb,btrdb,,X_Single,Y_auto,BTrDB,Relational,Go,,Shared-Disk,"University of California, Berkeley",US,2014,,"Academic,Open Source",GPL v3,BTrDB/btrdb-server,Y,,
bugfruit,bugfruit,,X_Single,Y_auto,bugfruit,Key-value,Go,Custom API,Embedded,Reese Porter,US,2022,,"Hobby,Open Source",BSD,reesporte/bugfruit,Y,,
buntdb,buntdb,,X_Single,Y_auto,BuntDB,Key-value,Go,,Embedded,Josh Baker,US,2016,,Open Source,MIT,tidwall/buntdb,Y,,
bustub,bustub,,X_Single,Y_auto,BusTub,Relational,C++,SQL,,Carnegie Mellon University,US,2019,,"Academic,Educational,Open Source",MIT,cmu-db/bustub,Y,,
c-store,c-store,,X_Single,Y_auto,C-Store,Relational,C++,SQL,Shared-Nothing,"Massachusetts Institute of Technology, Brown University",US,2005,,"Academic,Open Source",BSD,,Y,,
cachegrand,cachegrand,,X_Single,Y_auto,Cachegrand,Key-value,C,HTTP / REST,,Cachegrand,CH,2018,,"Commercial,Open Source",BSD,danielealbano/cachegrand,Y,,
calvin,calvin,,X_Single,Y_auto,Calvin,Relational,C++,,,Yale University,US,2012,,"Academic,Open Source",,yaledb/calvin,Y,,
caskdb,caskdb,,X_Single,Y_auto,CaskDB,Key-value,Python,,Embedded,Avinash Sajjanshetty,IN,2022,,"Educational,Open Source",MIT,avinassh/py-caskdb,Y,,
cassandra,cassandra,cassandra,Normal,Y_auto,Cassandra,"Wide column,Key-value#dbdbio>|<dbengines#Wide column",Java,Custom API,Shared-Nothing,Apache Software Foundation,US,2008,2022,Open Source,Apache v2#dbdbio>|<dbengines#Apache version 2,apache/cassandra,Y,111.14,12
castledb,castledb,,X_Single,Y_auto,CastleDB,Document,Haxe,HTTP / REST,,Nicolas Cannasse,FR,2012,,Open Source,ISC License,ncannasse/castle,Y,,
cayley,cayley,,X_Single,Y_auto,Cayley,RDF,Go,"GraphQL,Gremlin",,Google,US,2014,,Open Source,Apache v2,cayleygraph/cayley,Y,,
ceresdb,ceresdb,,X_Single,Y_auto,CeresDB,Relational,Rust,"SQL,HTTP / REST",,,CN,2021,,Open Source,Apache v2,CeresDB/ceresdb,Y,,
chaozzdb,chaozzdb,,X_Single,Y_auto,chaozzDB,,PHP,SQL,Embedded,Elmar Wenners,NL,2008,,"Hobby,Open Source",Creative Commons License,chaozznl/chaozzDB,Y,,
cheetah,cheetah,,X_Single,Y_auto,Cheetah,Relational,Visual Basic,Custom API,Embedded,PlanetSquires Software,CA,2005,,Open Source,GPL v2,,Y,,
chronicle-map,chronicle-map,,X_Single,Y_auto,Chronicle Map,Key-value,Java,,,Chronicle Software,GB,2014,,"Commercial,Open Source",LGPL v3,OpenHFT/Chronicle-Map,Y,,
chronix,chronix,,X_Single,Y_auto,Chronix,,Java,Custom API,,QAware,DE,2015,,"Commercial,Open Source",Apache v2,ChronixDB/chronix.server,Y,,
citus,citus,citus,Normal,Y_auto,Citus,Relational,C,SQL,Shared-Nothing,Citus Data,"US,TR",2010,2018,"Commercial,Open Source","AGPL v3#dbdbio>|<dbengines#AGPL, commercial license also available",citusdata/citus,Y,3.05,117
clickhouse,clickhouse,clickhouse,Normal,Y_auto,ClickHouse,Relational,C++,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Yandex#dbdbio>|<dbengines#Clickhouse Inc.,RU,2016,2023,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache 2.0,ClickHouse/ClickHouse,Y,14.39,44
cloudkit,cloudkit,cloudkit,Normal,Y_auto,CloudKit,Document,,,,,US,2008#dbdbio>|<dbengines#2016,,Open Source,MIT,jcrosby/cloudkit,Y#dbdbio>|<dbengines#N,3.15,114
cnosdb,cnosdb,cnosdb,Normal,Y_auto,CnosDB,Relational#dbdbio>|<dbengines#Time Series,Rust,SQL,Shared-Disk,CnosDB,CN,2021#dbdbio>|<dbengines#2022,2023,"Commercial,Open Source",AGPL v3#dbdbio>|<dbengines#AGPL 3.0,cnosdb/cnosdb,Y,0.41,318
cockroachdb,cockroachdb,cockroachdb,Normal,Y_auto,CockroachDB,Relational,Go,SQL,Shared-Nothing,Cockroach Labs,US,2014#dbdbio>|<dbengines#2015,2021,"Commercial,Open Source","Business Source License#dbdbio>|<dbengines#Apache 2.0, commercial license available",cockroachdb/cockroach,Y,6.69,64
codernitydb,codernitydb,,X_Single,Y_auto,CodernityDB,Key-value,Python,HTTP / REST,Shared-Everything,Codernity.com,PL,2011,,Open Source,Apache v2,,Y,,
cogadb,cogadb,,X_Single,Y_auto,CoGaDB,Relational,C++,SQL,Shared-Everything,TU Berlin,DE,2012,2020,"Academic,Open Source",GPL v3,,Y,,
cogdb,cogdb,,X_Single,Y_auto,CogDB,RDF,Python,Custom API,Embedded,Arun Mahendra,CA,2017,,"Hobby,Open Source",MIT,arun1729/cog,Y,,
column,column,,X_Single,Y_auto,Column,Relational,Go,Custom API,Embedded,Roman Atachiants,AE,2021,,"Hobby,Open Source",MIT,kelindar/column,Y,,
comdb2,comdb2,comdb2,Normal,Y_auto,Comdb2,Relational,C,SQL,,Bloomberg#dbdbio>|<dbengines#Bloomberg Finance L.P.,US,2004,,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,bloomberg/comdb2,Y,0.58,291
compass,compass,,X_Single,Y_auto,Compass,"Document,Object oriented",Java,Custom API,Shared-Memory,Shay Banon,GB,2006,2009,Open Source,Apache v2,kimchy/compass,Y,,
composedb,composedb,,X_Single,Y_auto,ComposeDB,Graph,TypeScript,GraphQL,,3Box Labs,IE,2022,,Open Source,"Apache v2,MIT",ceramicstudio/js-composedb,Y,,
computedb,computedb,tibco-computedb,Fuzzy:Normal,Y,ComputeDB#dbdbio>|<dbengines#Tibco ComputeDB,Relational,Java,SQL,,Tibco,US,2015,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache 2.0,SnappyDataInc/snappydata#dbdbio>|<dbengines#-,Y,0.27,350
conceptbasecc,conceptbasecc,,X_Single,Y_auto,ConceptBase.cc,Object oriented,,Datalog,,"University of Skövde, University of Aachen","DE,SE",1995,,"Academic,Open Source",BSD,,Y,,
concourse,concourse,,X_Single,Y_auto,Concourse,Document,Java,Custom API,,Cinchapi Inc.,US,2012,,"Commercial,Open Source",Apache v2,cinchapi/concourse,Y,,
condensation,condensation,,X_Single,Y_auto,Condensation,Object oriented,Java,Custom API,,,CH,2020,,Open Source,Apache v2,CondensationDB/Condensation-java,Y,,
consus,consus,,X_Single,Y_auto,Consus,Key-value,C++,,,Cornell University,US,2015,,"Academic,Open Source",BSD,rescrv/Consus,Y,,
consus-java,consus-java,,X_Single,Y_auto,Consus,"Object oriented,Relational",Java,,Embedded,Konstantin Knizhnik,RU,2004,,Open Source,BSD,,Y,,
coreobject,coreobject,,X_Single,Y_auto,CoreObject,Object oriented,Objective-C,Custom API,,Étoilé Project,FR,2007,,"Academic,Open Source",MIT,etoile/CoreObject,Y,,
couchbase,couchbase,couchbase,Normal,Y_auto,Couchbase,"Key-value,Document#dbdbio>|<dbengines#Document","C,C++,Erlang,Go",Custom API,Shared-Nothing,"Couchbase, Inc.",US,2010#dbdbio>|<dbengines#2011,2021,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache version 2; Commercial licenses also available,couchbase/manifest#dbdbio>|<dbengines#couchbase/couchbase-lite-core,Y,24.42,31
couchdb,couchdb,couchdb,Normal,Y_auto,CouchDB,Document,Erlang,HTTP / REST,Shared-Nothing,Damien Katz#dbdbio>|<dbengines#Apache Software Foundation,US,2005,2023,Open Source,Apache v2#dbdbio>|<dbengines#Apache version 2,apache/couchdb,Y,16.09,39
covenantsql,covenantsql,covenantsql,Normal,Y_auto,CovenantSQL,Relational,Go,SQL,Shared-Nothing,Covenant Labs,CN,2018,,"Commercial,Open Source",Apache v2,CovenantSQL/CovenantSQL,Y,0.0,398
cozodb,cozodb,,X_Single,Y_auto,CozoDB,Relational,Rust,Datalog,Embedded,Ziyang Hu,GB,2022,,"Hobby,Open Source",Mozilla Public License,cozodb/cozo,Y,,
cql,cql,,X_Single,Y_auto,CQL++,Relational,C++,,"Shared-Everything,Embedded",Machine Independent Software Corporation,US,1994,,"Commercial,Open Source","GPL v2,Proprietary",,Y,,
cqlite,cqlite,,X_Single,Y_auto,CQLite,Graph,Rust,Cypher,Embedded,Tilman Roeder,GB,2021,,"Hobby,Open Source",MIT,dyedgreen/cqlite,Y,,
cratedb,cratedb,cratedb,Normal,Y_auto,CrateDB,Document,Java,"SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Crate.io#dbdbio>|<dbengines#Crate,AT,2014#dbdbio>|<dbengines#2013,,"Commercial,Open Source",Apache v2,crate/crate,Y,1.01,230
csql,csql,,X_Single,Y_auto,CSQL,Relational,,,,LAKSHYA Solutions Limited,IN,2005,2008,"Commercial,Open Source",GPL v2,,Y,,
cubicweb,cubicweb,cubicweb,Normal,Y_auto,CubicWeb,Graph#dbdbio>|<dbengines#RDF,Python,Custom API,,Logilab,FR,2000#dbdbio>|<dbengines#2001,2021,Open Source,LGPL v2#dbdbio>|<dbengines#L-GPL,-,Y,0.57,292
